timestamp_iso_th,indoor_PM1.0,indoor_PM2.5,indoor_PM10,outdoor_PM1.0,outdoor_PM2.5,outdoor_PM10,bme_temp_C,bme_rh_%,bme_pressure_hPa,device_id
2025-09-18T12:43:07+07:00,nan,nan,nan,nan,nan,nan,30.4,66.5,970.9,raspberrypi5
2025-09-18T12:43:08+07:00,13,19,19,16,24,26,30.4,66.5,970.9,raspberrypi5
2025-09-18T12:43:09+07:00,13,19,19,16,24,26,30.4,66.5,970.9,raspberrypi5
2025-09-18T12:43:10+07:00,12,18,18,16,24,26,30.4,66.4,970.9,raspberrypi5
2025-09-18T12:43:12+07:00,12,18,18,16,24,25,30.4,66.4,971.0,raspberrypi5
2025-09-18T12:43:13+07:00,12,18,18,16,24,25,30.4,66.4,970.9,raspberrypi5
2025-09-18T12:43:14+07:00,12,17,17,16,24,25,30.4,66.3,971.0,raspberrypi5
2025-09-18T12:43:15+07:00,12,17,17,16,24,25,30.4,66.3,971.0,raspberrypi5
2025-09-18T12:43:16+07:00,12,17,17,16,24,25,30.4,66.3,971.0,raspberrypi5
2025-09-18T12:43:17+07:00,13,18,18,16,24,25,30.4,66.3,970.9,raspberrypi5
2025-09-18T12:43:18+07:00,13,18,18,16,24,27,30.4,66.3,970.9,raspberrypi5
2025-09-18T12:43:19+07:00,13,18,18,16,24,27,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:20+07:00,12,18,18,16,24,27,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:21+07:00,12,18,18,17,25,27,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:22+07:00,12,18,18,17,25,27,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:23+07:00,12,18,19,17,25,27,30.4,66.2,970.8,raspberrypi5
2025-09-18T12:43:24+07:00,12,18,19,17,27,28,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:26+07:00,12,18,19,17,27,28,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:27+07:00,13,19,20,17,27,28,30.4,66.2,970.9,raspberrypi5
2025-09-18T12:43:28+07:00,13,19,20,18,27,29,30.4,66.2,970.8,raspberrypi5
2025-09-18T12:43:29+07:00,13,19,20,17,27,29,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:30+07:00,14,19,20,17,26,28,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:31+07:00,14,19,20,18,27,28,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:32+07:00,14,19,20,18,28,30,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:33+07:00,14,19,19,17,28,30,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:34+07:00,13,18,18,17,28,31,30.4,66.0,971.0,raspberrypi5
2025-09-18T12:43:35+07:00,13,18,18,17,28,29,30.4,66.0,970.8,raspberrypi5
2025-09-18T12:43:36+07:00,13,17,18,17,27,28,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:37+07:00,13,17,18,17,27,29,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:38+07:00,13,17,18,17,28,30,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:39+07:00,13,18,19,18,29,31,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:40+07:00,13,18,19,18,29,31,30.4,66.1,970.9,raspberrypi5
2025-09-18T12:43:41+07:00,13,18,19,18,29,31,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:42+07:00,13,18,19,18,29,31,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:43+07:00,13,18,19,17,28,31,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:44+07:00,13,18,19,17,28,31,30.4,65.9,970.9,raspberrypi5
2025-09-18T12:43:45+07:00,13,19,20,17,28,31,30.4,65.9,970.9,raspberrypi5
2025-09-18T12:43:47+07:00,13,19,20,17,28,30,30.4,65.9,971.0,raspberrypi5
2025-09-18T12:43:48+07:00,13,19,20,17,28,30,30.4,65.9,970.9,raspberrypi5
2025-09-18T12:43:49+07:00,12,17,17,17,28,30,30.4,65.9,970.8,raspberrypi5
2025-09-18T12:43:50+07:00,12,17,17,18,28,30,30.4,65.9,970.9,raspberrypi5
2025-09-18T12:43:51+07:00,12,17,17,18,28,30,30.4,66.0,970.8,raspberrypi5
2025-09-18T12:43:52+07:00,12,18,18,18,28,30,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:53+07:00,12,18,18,17,27,30,30.4,66.0,970.9,raspberrypi5
2025-09-18T12:43:54+07:00,12,18,18,17,27,30,30.4,65.9,970.8,raspberrypi5
2025-09-18T12:43:55+07:00,12,17,18,17,27,30,30.4,65.9,970.9,raspberrypi5
2025-09-18T12:43:56+07:00,13,18,19,17,26,29,30.4,65.9,970.9,raspberrypi5
