timestamp_iso_th,indoor_PM1.0,indoor_PM2.5,indoor_PM10,outdoor_PM1.0,outdoor_PM2.5,outdoor_PM10,bme_temp_C,bme_rh_%,bme_pressure_hPa,device_id
2025-09-22T14:05:11+07:00,4,6,7,7,10,10,31.4,63.4,968.8,raspberrypi5
2025-09-22T14:05:12+07:00,4,6,7,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:13+07:00,4,7,8,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:14+07:00,5,8,9,7,10,10,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:05:15+07:00,5,8,9,7,10,10,31.4,63.5,969.0,raspberrypi5
2025-09-22T14:05:16+07:00,5,8,9,8,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:17+07:00,5,8,9,8,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:18+07:00,5,8,9,8,10,10,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:19+07:00,5,8,9,8,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:20+07:00,5,8,9,8,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:21+07:00,4,7,8,7,9,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:22+07:00,4,7,8,7,9,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:23+07:00,4,7,8,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:24+07:00,5,8,9,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:25+07:00,5,9,10,7,9,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:26+07:00,5,9,10,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:28+07:00,5,9,10,7,9,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:29+07:00,5,8,9,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:30+07:00,5,8,9,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:31+07:00,5,8,9,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:32+07:00,6,9,10,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:33+07:00,6,9,10,8,10,10,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:34+07:00,6,9,10,8,10,10,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:35+07:00,6,9,10,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:36+07:00,5,8,9,7,9,9,31.4,63.4,969.0,raspberrypi5
2025-09-22T14:05:37+07:00,5,8,9,7,9,9,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:38+07:00,4,7,8,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:39+07:00,5,8,9,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:40+07:00,5,8,9,7,10,10,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:41+07:00,6,8,9,7,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:42+07:00,6,8,9,7,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:43+07:00,6,8,9,7,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:44+07:00,5,7,8,7,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:45+07:00,5,7,8,7,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:46+07:00,5,7,8,7,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:47+07:00,5,7,8,7,10,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:48+07:00,5,7,8,7,10,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:50+07:00,5,7,8,7,10,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:51+07:00,5,7,8,6,9,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:52+07:00,5,7,8,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:53+07:00,5,7,8,6,9,11,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:05:54+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:55+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:56+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:57+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:58+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:05:59+07:00,5,7,7,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:00+07:00,5,8,8,6,9,11,31.4,63.4,968.9,raspberrypi5
2025-09-22T14:06:01+07:00,4,7,7,7,10,12,31.4,63.4,968.9,raspberrypi5
